CentroNv2,NPS_Trad,NPS_Ajust,Sentimento_Medio,Top_Problema,Top_Elogio,Total_Comentarios,Pct_Negativo,Flag,Diff_NPS,Alerta
L5001-RIBEIRAO PRETO (0217),61.74957118353345,74.78559176672384,0.7890222984562607,Produto/Qualidade,Outros,583,8.747855917667238,REGULAR,13.036020583190393,True
L5002-ALPHAVILLE (0290),58.06896551724138,72.13793103448276,0.7572413793103449,Produto/Qualidade,Outros,725,9.931034482758621,REGULAR,14.06896551724138,True
L5003-LINS (0340),72.57617728531855,85.3185595567867,0.8698060941828255,Produto/Qualidade,Outros,361,5.263157894736842,REGULAR,12.742382271468145,True
L5004-CAMPO BELO (0448),63.2,76.0,0.804,Entrega,Outros,500,8.200000000000001,REGULAR,12.799999999999997,True
L5005-BROOKLIN (0475),59.743040685224834,72.80513918629549,0.7708779443254818,Produto/Qualidade,Atendimento,467,9.635974304068522,TOCADORA,13.062098501070658,True
L5006-MARAJOARA (0487),54.42307692307692,66.92307692307692,0.7211538461538461,Produto/Qualidade,Outros,520,11.346153846153847,REGULAR,12.5,True
L5007-KLABIN (0496),52.164948453608254,63.092783505154635,0.6721649484536083,Atendimento,Atendimento,485,14.432989690721648,TOCADORA,10.927835051546381,True
L5008-SCS MAUA (0500),68.09338521400778,78.21011673151752,0.7996108949416343,Entrega,Outros,514,8.365758754863812,REGULAR,10.116731517509734,True
L5009-PIRITUBA (0508),66.79920477137176,78.33001988071571,0.8111332007952287,Entrega,Outros,503,7.75347912524851,TOCADORA,11.530815109343948,True
L5012-SOROCABA (0527),69.16666666666667,78.75,0.8166666666666667,Produto/Qualidade,Outros,240,7.083333333333333,REGULAR,9.583333333333329,True
L5013-GRANJA VIANA (0545),76.8901569186876,81.8830242510699,0.8388017118402282,Entrega,Atendimento,701,7.703281027104136,REGULAR,4.992867332382303,True
L5014-ROUXINOL (0567),48.62637362637363,67.58241758241759,0.7582417582417582,Atendimento,Atendimento,364,9.065934065934066,TOCADORA,18.956043956043963,True
L5015-BARAO ITAPURA (0570),58.27814569536424,68.21192052980133,0.7119205298013245,Produto/Qualidade,Outros,302,13.245033112582782,TOCADORA,9.933774834437095,True
L5016-ANDRADINA (0573),83.85964912280703,90.87719298245615,0.9228070175438596,Outros,Outros,285,3.1578947368421053,REGULAR,7.017543859649123,True
L5017-LEOPOLDINA (0576),42.96875,60.15625,0.6640625,Entrega,Outros,384,14.84375,TOCADORA,17.1875,True
L5018-MOEMA JURUCE (0584),67.49654218533887,77.45504840940526,0.8063623789764869,Entrega,Outros,723,8.29875518672199,REGULAR,9.958506224066397,True
L5019-ANGELICA (0684),61.39303482587065,76.51741293532338,0.8,Entrega,Outros,1005,8.059701492537313,REGULAR,15.124378109452728,True
